rental_id;car_id;checkin_type;state;delay_at_checkout_in_minutes;previous_ended_rental_id;time_delta_with_previous_rental_in_minutes
555953;407253;mobile;canceled;;;
555992;375774;mobile;ended;58;;
556072;320670;mobile;ended;21;;
556079;374298;connect;ended;-1019;;
556110;211860;connect;canceled;;;
556143;407632;mobile;ended;181;;
556241;396767;mobile;canceled;;;
556267;274554;mobile;canceled;;;
556483;413896;mobile;ended;14;;
556488;296213;mobile;ended;8;;
556580;397878;mobile;ended;77;;
556608;368275;mobile;ended;-12;;
556648;332548;mobile;ended;-581;;
556696;234356;mobile;ended;59;;
556755;395962;mobile;ended;98;;
556986;402773;mobile;ended;23;;
556999;406205;mobile;ended;14;;
557296;387427;mobile;ended;7;;
557314;383126;mobile;ended;-16;;
557429;321400;connect;canceled;;;
557504;327732;mobile;ended;55;;
557512;412816;mobile;ended;101;;
557514;405433;mobile;ended;47;;
557535;401623;mobile;ended;21;;
557572;383139;mobile;ended;-85;;
557674;375915;mobile;ended;15;550183;480
557681;410151;mobile;ended;122;;
557685;272724;mobile;ended;996;;
557716;249157;mobile;ended;;;
557833;351547;mobile;ended;67;;
557913;351021;mobile;ended;-4;;
558047;396746;mobile;ended;-25;;
558088;245154;connect;ended;-40;566170;180
558250;375126;connect;ended;-4;549813;600
558342;400165;mobile;canceled;;;
558424;318867;mobile;ended;173;;
558479;405858;mobile;canceled;;;
558525;297962;connect;ended;-256;555341;30
558557;410258;mobile;ended;20;;
558561;326755;mobile;ended;72;;
558583;326578;mobile;ended;3;;
558709;316772;mobile;ended;102;;
558759;368753;connect;ended;-126;;
558974;321069;mobile;ended;-5;;
559078;340616;connect;ended;27;;
559084;286751;connect;canceled;;;
559107;402084;mobile;ended;;;
559125;297740;mobile;canceled;;;
559318;344677;mobile;ended;2;;
559331;369354;mobile;ended;89;;
559428;289720;connect;ended;-16;520878;90
559435;281955;mobile;ended;18;553797;60
559750;220877;connect;canceled;;;
559781;408776;mobile;ended;44;540868;0
559817;394117;mobile;ended;21;;
559924;376064;mobile;ended;-3;;
560005;301068;mobile;ended;-78;;
560079;288452;mobile;ended;52;;
560311;399361;mobile;canceled;;;
560363;376124;mobile;ended;;;
560720;404020;mobile;ended;-14;;
560884;410068;mobile;ended;-41;;
560886;375755;mobile;ended;84;;
560889;412672;connect;ended;;;
561054;387845;mobile;ended;-18;;
561083;334859;mobile;ended;65;;
561111;337217;mobile;ended;10;;
561157;373726;mobile;ended;-14;;
561269;389467;mobile;ended;-21;;
561285;392479;mobile;ended;-40;;
561366;305917;mobile;ended;-104;;
561368;249274;connect;ended;-3;558711;30
561383;411754;connect;ended;173;;
561408;310444;connect;ended;-54;545475;360
561450;192179;connect;ended;7;541144;540
561492;341119;connect;canceled;;;
561596;364996;mobile;ended;108;;
561706;395613;mobile;ended;-38;;
561713;414723;mobile;canceled;;;
561726;409636;mobile;ended;-208;;
561786;409238;mobile;canceled;;;
561819;304112;mobile;canceled;;;
562024;403722;mobile;canceled;;;
562090;404542;mobile;ended;-35;;
562127;386382;mobile;canceled;;;
562173;394024;mobile;ended;73;;
562174;381499;connect;ended;73;;
562211;248539;mobile;canceled;;;
562256;392731;mobile;canceled;;;
562264;408060;mobile;ended;129;;
562291;404133;connect;ended;-709;;
562299;386177;mobile;canceled;;;
562409;410088;mobile;ended;-30;;
562501;242546;mobile;ended;15;;
562641;381183;mobile;canceled;;;
562669;393442;mobile;ended;30;;
562807;310571;mobile;ended;-14;;
563003;310828;mobile;ended;-444;;
563108;339515;mobile;ended;33;;
563119;406005;mobile;ended;;;
563142;394272;mobile;canceled;;;
563157;371572;connect;ended;-83;;
563509;349894;connect;ended;-432;;
563519;225602;mobile;ended;-16;;
563552;241021;connect;ended;25;567278;60
563775;365793;mobile;ended;;;
563933;347208;connect;ended;27;;
563998;409663;mobile;ended;-47;;
564034;358907;mobile;ended;;;
564045;381123;mobile;ended;99;554558;660
564094;179429;mobile;ended;4;;
564208;361262;mobile;ended;90;;
564269;384150;mobile;canceled;;;
564414;195888;mobile;ended;20;564484;180
564449;371530;mobile;canceled;;;
564466;407869;mobile;ended;10;;
564500;382884;mobile;ended;69;555024;420
564521;412426;mobile;canceled;;;
564538;332366;mobile;ended;335;;
564627;341431;mobile;canceled;;552005;150
564638;394120;mobile;canceled;;;
564642;340833;mobile;ended;-20;;
564694;410110;mobile;canceled;;;
564706;384747;mobile;ended;403;;
564782;356481;mobile;canceled;;;
564785;399718;mobile;ended;1;;
564825;414525;mobile;canceled;;;
564844;297962;connect;ended;-167;;
564955;389994;mobile;ended;136;;
564967;282208;mobile;canceled;;;
564992;366410;mobile;ended;62;;
565108;354331;mobile;ended;-55;;
565143;381435;mobile;ended;-100;;
565205;406475;mobile;ended;-80;;
565340;415170;mobile;ended;41;;
565494;368210;mobile;ended;45;;
565512;376391;mobile;ended;436;;
565540;281518;mobile;ended;-43;;
505091;213807;connect;ended;-155;;
505567;308565;mobile;ended;-3;;
505859;268874;mobile;ended;42;;
506321;393781;connect;ended;-1;;
506686;400229;mobile;ended;;;
506970;226932;mobile;ended;-10;;
507103;393584;mobile;ended;15;;
507112;221297;mobile;ended;7;;
508737;358274;mobile;canceled;;;
509566;372647;mobile;ended;181;;
509688;339975;mobile;ended;14;;
510435;367627;mobile;ended;;;
511872;386539;mobile;ended;7;;
512237;382279;mobile;ended;-10;;
514630;366287;connect;canceled;;;
514673;402194;mobile;ended;-52;;
515572;397136;mobile;canceled;;;
516244;349131;mobile;ended;-34;;
516585;389785;connect;ended;162;;
518058;320481;mobile;canceled;;;
518871;393981;mobile;ended;;;
519260;359719;mobile;ended;946;;
519450;358846;mobile;ended;-12;;
519451;251815;connect;ended;-76;;
520147;392147;mobile;ended;1;536236;390
520580;168079;mobile;ended;-20;;
520711;402078;mobile;ended;-17;;
520750;337219;connect;ended;-154;;
520979;381012;mobile;canceled;;;
521501;278953;mobile;ended;;;
521526;282208;mobile;ended;-53;;
521594;241058;mobile;canceled;;;
522476;376514;mobile;ended;300;;
523920;363431;mobile;ended;-25;;
